Datalog report
Fri Feb 14 08:59:54 2025

                      Lot:  8IQY47003.05-TT-I
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  Joe
                Test Code:  FT
         Test Temperature:  25C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8299856"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0997V     <       0.120V      Site:1
319499     leak_lo_mux_io_req_pad_data_222                                  -100.000uA    <      0.0070uA    <     100.000uA     Site:1
319516     leak_lo_mux_io_req_pad_data_64                                   -100.000uA    <      0.0040uA    <     100.000uA     Site:1
319007     leak_lo_mux_reserved_in_pad_i_5                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319024     leak_lo_mux_io_req_pad_data_226                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319041     leak_lo_mux_io_req_pad_data_179                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319058     leak_lo_mux_reserved_in_pad_i_1                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319075     leak_lo_mux_reserved_in_pad_i_6                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319092     leak_lo_mux_io_req_pad_data_95                                   -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319109     leak_lo_mux_io_req_pad_data_210                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319126     leak_lo_mux_io_req_pad_data_133                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319143     leak_lo_mux_io_req_pad_data_159                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319160     leak_lo_mux_io_req_pad_data_151                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319177     leak_lo_mux_io_req_pad_data_205                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319194     leak_lo_mux_reserved_in_pad_i_3                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319211     leak_lo_mux_io_req_pad_data_173                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319228     leak_lo_mux_reserved_in_pad_i_9                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319245     leak_lo_mux_io_req_pad_data_247                                  -100.000uA    <      0.0060uA    <     100.000uA     Site:1
319262     leak_lo_mux_io_req_pad_data_50                                   -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319279     leak_lo_mux_io_req_pad_data_188                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319296     leak_lo_mux_reserved_in_pad_i_7                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319313     leak_lo_mux_io_req_pad_data_70                                   -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319330     leak_lo_mux_io_req_pad_data_215                                  -100.000uA    <      0.0060uA    <     100.000uA     Site:1
319347     leak_lo_mux_reserved_in_pad_i_4                                  -100.000uA    <      0.0040uA    <     100.000uA     Site:1
319364     leak_lo_mux_io_req_pad_data_98                                   -100.000uA    <      0.0140uA    <     100.000uA     Site:1
319381     leak_lo_mux_io_req_pad_data_61                                   -100.000uA    <      0.0060uA    <     100.000uA     Site:1
319398     leak_lo_mux_reserved_in_pad_i_2                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319415     leak_lo_mux_io_req_pad_data_111                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319432     leak_lo_mux_io_req_pad_data_192                                  -100.000uA    <      0.0060uA    <     100.000uA     Site:1
319449     leak_lo_mux_io_req_pad_data_156                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319466     leak_lo_mux_io_req_pad_parity_5                                  -100.000uA    <      0.0090uA    <     100.000uA     Site:1
319483     leak_lo_mux_io_req_pad_data_146                                  -100.000uA    <      0.0060uA    <     100.000uA     Site:1
319500     leak_lo_mux_io_req_pad_data_71                                   -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319517     leak_lo_mux_io_req_pad_parity_4                                  -100.000uA    <      0.0110uA    <     100.000uA     Site:1
319008     leak_lo_mux_io_req_pad_data_194                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319025     leak_lo_mux_io_req_pad_data_113                                  -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319042     leak_lo_mux_io_req_pad_data_75                                   -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319059     leak_lo_mux_io_req_pad_data_74                                   -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319076     leak_lo_mux_io_req_pad_data_35                                   -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319093     leak_lo_mux_io_req_pad_data_112                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319110     leak_lo_mux_io_req_pad_data_228                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319127     leak_lo_mux_io_req_pad_data_230                                  -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319144     leak_lo_mux_io_req_pad_data_37                                   -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319161     leak_lo_mux_io_req_pad_data_229                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319178     leak_lo_mux_io_req_pad_parity_6                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319195     leak_lo_mux_io_req_pad_data_34                                   -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319212     leak_lo_mux_io_req_pad_data_193                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319229     leak_lo_mux_io_req_pad_data_150                                  -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319246     leak_lo_mux_io_req_pad_data_106                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319263     leak_lo_mux_io_req_pad_data_65                                   -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319280     leak_lo_mux_io_req_pad_data_76                                   -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319297     leak_lo_mux_io_req_pad_data_39                                   -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319314     leak_lo_mux_io_req_pad_data_169                                  -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319331     leak_lo_mux_io_req_pad_data_91                                   -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319348     leak_lo_mux_io_req_pad_data_157                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319365     leak_lo_mux_io_req_pad_data_128                                  -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319382     leak_lo_mux_io_req_pad_data_72                                   -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319399     leak_lo_mux_reserved_in_pad_i_10                                 -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319416     leak_lo_mux_io_req_pad_data_86                                   -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319433     leak_lo_mux_io_req_pad_data_190                                  -100.000uA    <     -0.0160uA    <     100.000uA     Site:1
319450     leak_lo_mux_io_req_pad_data_189                                  -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
319467     leak_lo_mux_io_req_pad_data_206                                  -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319484     leak_lo_mux_io_req_pad_data_217                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
319501     leak_lo_mux_io_req_pad_data_136                                  -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
319518     leak_lo_mux_io_req_pad_data_147                                  -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
401001     cold_boot_400_modeinit                                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
801201     Tsens_measure_HT_Pre_Cal                                           20.000NA    <      6.6250NA    <     120.000NA     Site:1(F)
Number     Test Name                                                                                                             Site(P/F)
0          TSENS_Calibration                                                                                                     Site:1(R)
Number     Test Name                                                             Low           Measured               High       Site(P/F)
801302     Tsens_measure_HT_Post_Cal                                          20.000NA    <      6.1250NA    <     120.000NA     Site:1(F)
402001     chip_pmbist_400_core_row0_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402002     chip_pmbist_400_core_row1_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402003     chip_pmbist_400_core_row2_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402004     chip_pmbist_400_core_row3_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402005     chip_pmbist_400_core_row4_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402006     chip_pmbist_400_core_row5_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402007     chip_pmbist_400_core_row6_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402008     chip_pmbist_400_core_row7_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402009     chip_pmbist_400_core_row8_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402010     chip_pmbist_400_core_row9_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402011     chip_pmbist_400_core_row10_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402012     chip_pmbist_400_core_row11_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402013     chip_pmbist_400_core_row12_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402014     chip_pmbist_400_core_row13_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402015     chip_pmbist_400_core_row14_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402016     chip_pmbist_400_core_row15_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
402017     chip_pmbist_400_ctrl_data_top_conn_noinit                           1.000NA    <      1.0000NA    <       1.000NA     Site:1
402018     chip_pmbist_400_fbuf_col0_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
402019     chip_pmbist_400_fbuf_col_row_conn_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
402020     chip_pmbist_400_core_row0_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402021     chip_pmbist_400_core_row1_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402022     chip_pmbist_400_core_row2_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402023     chip_pmbist_400_core_row3_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402024     chip_pmbist_400_core_row4_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402025     chip_pmbist_400_core_row5_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402026     chip_pmbist_400_core_row6_march_blif_noinit                         1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402027     chip_pmbist_400_core_row7_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402028     chip_pmbist_400_core_row8_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402029     chip_pmbist_400_core_row9_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402030     chip_pmbist_400_core_row10_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402031     chip_pmbist_400_core_row11_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402032     chip_pmbist_400_core_row12_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402033     chip_pmbist_400_core_row13_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402034     chip_pmbist_400_core_row14_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402035     chip_pmbist_400_core_row15_march_blif_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402036     chip_pmbist_400_ctrl_data_top_march_blif_noinit                     1.000NA    <      1.0000NA    <       1.000NA     Site:1
402037     chip_pmbist_400_fbuf_col0_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402038     chip_pmbist_400_fbuf_col_row_march_blif_noinit                      1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402039     chip_pmbist_400_core_row0_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402040     chip_pmbist_400_core_row1_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402041     chip_pmbist_400_core_row2_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402042     chip_pmbist_400_core_row3_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402043     chip_pmbist_400_core_row4_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402044     chip_pmbist_400_core_row5_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402045     chip_pmbist_400_core_row6_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402046     chip_pmbist_400_core_row7_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402047     chip_pmbist_400_core_row8_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402048     chip_pmbist_400_core_row9_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402049     chip_pmbist_400_core_row10_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402050     chip_pmbist_400_core_row11_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402051     chip_pmbist_400_core_row12_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402052     chip_pmbist_400_core_row13_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402053     chip_pmbist_400_core_row14_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402054     chip_pmbist_400_core_row15_march_d2pf_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402055     chip_pmbist_400_ctrl_data_top_march_d2pf_noinit                     1.000NA    <      1.0000NA    <       1.000NA     Site:1
402056     chip_pmbist_400_fbuf_col0_march_d2pf_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402057     chip_pmbist_400_fbuf_col_row_march_d2pf_noinit                      1.000NA    <      1.0000NA    <       1.000NA     Site:1
402058     chip_pmbist_400_core_row0_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402059     chip_pmbist_400_core_row1_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402060     chip_pmbist_400_core_row2_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402061     chip_pmbist_400_core_row3_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402062     chip_pmbist_400_core_row4_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402063     chip_pmbist_400_core_row5_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402064     chip_pmbist_400_core_row6_march_hamr8_noinit                        1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402065     chip_pmbist_400_core_row7_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402066     chip_pmbist_400_core_row8_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402067     chip_pmbist_400_core_row9_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402068     chip_pmbist_400_core_row10_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402069     chip_pmbist_400_core_row11_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402070     chip_pmbist_400_core_row12_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402071     chip_pmbist_400_core_row13_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402072     chip_pmbist_400_core_row14_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402073     chip_pmbist_400_core_row15_march_hamr8_noinit                       1.000NA    <      1.0000NA    <       1.000NA     Site:1
402074     chip_pmbist_400_ctrl_data_top_march_hamr8_noinit                    1.000NA    <      1.0000NA    <       1.000NA     Site:1
402075     chip_pmbist_400_fbuf_col0_march_hamr8_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402076     chip_pmbist_400_fbuf_col_row_march_hamr8_noinit                     1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402077     chip_pmbist_400_core_row0_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402078     chip_pmbist_400_core_row1_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402079     chip_pmbist_400_core_row2_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402080     chip_pmbist_400_core_row3_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402081     chip_pmbist_400_core_row4_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402082     chip_pmbist_400_core_row5_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402083     chip_pmbist_400_core_row6_march_raw_noinit                          1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402084     chip_pmbist_400_core_row7_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402085     chip_pmbist_400_core_row8_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402086     chip_pmbist_400_core_row9_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402087     chip_pmbist_400_core_row10_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402088     chip_pmbist_400_core_row11_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402089     chip_pmbist_400_core_row12_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402090     chip_pmbist_400_core_row13_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402091     chip_pmbist_400_core_row14_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402092     chip_pmbist_400_core_row15_march_raw_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402093     chip_pmbist_400_ctrl_data_top_march_raw_noinit                      1.000NA    <      1.0000NA    <       1.000NA     Site:1
402094     chip_pmbist_400_fbuf_col0_march_raw_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
402095     chip_pmbist_400_fbuf_col_row_march_raw_noinit                       1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402096     chip_pmbist_400_core_row0_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402097     chip_pmbist_400_core_row1_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402098     chip_pmbist_400_core_row2_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402099     chip_pmbist_400_core_row3_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402100     chip_pmbist_400_core_row4_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402101     chip_pmbist_400_core_row5_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402102     chip_pmbist_400_core_row6_march_wcgd_noinit                         1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
402103     chip_pmbist_400_core_row7_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402104     chip_pmbist_400_core_row8_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402105     chip_pmbist_400_core_row9_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402106     chip_pmbist_400_core_row10_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402107     chip_pmbist_400_core_row11_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402108     chip_pmbist_400_core_row12_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402109     chip_pmbist_400_core_row13_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402110     chip_pmbist_400_core_row14_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402111     chip_pmbist_400_core_row15_march_wcgd_noinit                        1.000NA    <      1.0000NA    <       1.000NA     Site:1
402112     chip_pmbist_400_ctrl_data_top_march_wcgd_noinit                     1.000NA    <      1.0000NA    <       1.000NA     Site:1
402113     chip_pmbist_400_fbuf_col0_march_wcgd_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
402114     chip_pmbist_400_fbuf_col_row_march_wcgd_noinit                      1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
406003     cold_boot_400_machine_init                                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
409017     read_col00_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409018     read_col01_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409019     read_col02_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409020     read_col03_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409021     read_col04_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409022     read_col05_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409023     read_col06_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409024     read_col07_1_scan                                                   1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
409025     read_col08_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409026     read_col09_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409027     read_col10_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409028     read_col11_1_scan                                                   1.000NA    <      0.0000NA    <       1.000NA     Site:1(F)
409029     read_col12_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409030     read_col13_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409031     read_col14_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
409032     read_col15_1_scan                                                   1.000NA    <      1.0000NA    <       1.000NA     Site:1
401002     cold_boot_400_modeinit                                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
403001     chip_pmbist_400_core_row0_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403002     chip_pmbist_400_core_row1_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403003     chip_pmbist_400_core_row2_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403004     chip_pmbist_400_core_row3_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403005     chip_pmbist_400_core_row4_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403006     chip_pmbist_400_core_row5_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403007     chip_pmbist_400_core_row6_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403008     chip_pmbist_400_core_row7_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403009     chip_pmbist_400_core_row8_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403010     chip_pmbist_400_core_row9_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403011     chip_pmbist_400_core_row10_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403012     chip_pmbist_400_core_row11_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403013     chip_pmbist_400_core_row12_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403014     chip_pmbist_400_core_row13_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403015     chip_pmbist_400_core_row14_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403016     chip_pmbist_400_core_row15_repair_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
403017     chip_pmbist_400_ctrl_data_top_repair_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
403018     chip_pmbist_400_fbuf_col0_repair_noinit                             1.000NA    <      1.0000NA    <       1.000NA     Site:1
403019     chip_pmbist_400_fbuf_col_row_repair_noinit                          1.000NA    <      1.0000NA    <       1.000NA     Site:1
404001     chip_pmbist_400_core_row0_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404002     chip_pmbist_400_core_row1_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404003     chip_pmbist_400_core_row2_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404004     chip_pmbist_400_core_row3_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404005     chip_pmbist_400_core_row4_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404006     chip_pmbist_400_core_row5_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404007     chip_pmbist_400_core_row6_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404008     chip_pmbist_400_core_row7_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404009     chip_pmbist_400_core_row8_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404010     chip_pmbist_400_core_row9_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404011     chip_pmbist_400_core_row10_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404012     chip_pmbist_400_core_row11_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404013     chip_pmbist_400_core_row12_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404014     chip_pmbist_400_core_row13_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404015     chip_pmbist_400_core_row14_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404016     chip_pmbist_400_core_row15_conn_noinit                              1.000NA    <      1.0000NA    <       1.000NA     Site:1
404017     chip_pmbist_400_ctrl_data_top_conn_noinit                           1.000NA    <      1.0000NA    <       1.000NA     Site:1
404018     chip_pmbist_400_fbuf_col0_conn_noinit                               1.000NA    <      1.0000NA    <       1.000NA     Site:1
404019     chip_pmbist_400_fbuf_col_row_conn_noinit                            1.000NA    <      1.0000NA    <       1.000NA     Site:1
404020     chip_pmbist_400_core_row0_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404021     chip_pmbist_400_core_row1_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404022     chip_pmbist_400_core_row2_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404023     chip_pmbist_400_core_row3_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404024     chip_pmbist_400_core_row4_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404025     chip_pmbist_400_core_row5_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404026     chip_pmbist_400_core_row6_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
404027     chip_pmbist_400_core_row7_march_blif_noinit                         1.000NA    <      1.0000NA    <       1.000NA     Site:1
